gene_id,PR05826,PR05827,PR05851,,Genotype,BLS:STM
AT5G48030,25.64381458,20.36374491,13.67152173,,,
AT5G48040,5.707576968,5.388898054,2.200749473,,,
AT5G48050,0,0,0.435460148,,,
AT5G48060,0.44964522,0.272250602,1.950775611,,,
AT5G48070,0,0,0,,,
AT5G48090,0.580751213,0.185069731,0.580898984,,,
AT5G48100,0,0,0,,,
AT5G48110,0,0,0,,,
AT5G48120,11.08304377,11.03684131,6.593075521,,,
AT5G48130,0,0,0,,,
AT5G48140,0,0,0,,,
AT5G48150,7.259608051,8.092560336,16.73550507,,,
AT5G48160,43.03310676,46.48114806,40.97280292,,,
AT5G48170,6.295791969,5.360579899,4.192299172,,,
AT5G48175,0,0.991558947,0,,,
AT5G48180,26.36402998,25.99720354,38.43235432,,,
AT5G48190,0,0,0,,,
AT5G48200,0,0,0,,,
AT5G48205,0,0,0,,,
AT5G48210,0,0,0,,,
AT5G48220,29.77661083,33.04785316,28.31382253,,,
AT5G48230,47.24376318,42.835168,36.73506356,,,
AT5G48240,38.54482534,44.98905192,27.78108344,,,
AT5G48250,49.67580464,54.71457939,50.21246201,,,
AT5G48270,0.449119319,0.388474544,0,,,
AT5G48280,0,0,0,,,
AT5G48290,0.967862708,2.930101263,1.082004152,,,
AT5G48300,96.39877599,112.9737037,49.51466986,,,
AT5G48310,10.03046084,8.251278772,2.398313596,,,
AT5G48320,0.444986319,0.812565874,1.610836447,,,
AT5G48330,8.703023465,14.37760473,13.19113196,,,
AT5G48335,124.7023027,131.2055881,137.3024779,,,
AT5G48340,10.01710606,7.673512575,10.2648912,,,
AT5G48350,0.36266385,0.52282199,0,,,
AT5G48360,75.06036695,71.32547252,17.3763862,,,
AT5G48370,11.1171281,9.908608104,9.134633521,,,
AT5G48375,0,0,0,,,
AT5G48380,11.02925258,9.631374504,21.6210755,,,
